series_id                     	year	period	       value	footnote_codes
JTS000000000000000QUL         	2010	M07	        1789	
JTS000000000000000QUL         	2010	M08	        1852	
JTS000000000000000QUL         	2010	M09	        1901	
JTS000000000000000QUL         	2010	M10	        1848	
JTS000000000000000QUL         	2010	M11	        1881	
JTS000000000000000QUL         	2010	M12	        1968	
JTS000000000000000QUL         	2011	M01	        1833	
JTS000000000000000QUL         	2011	M02	        1952	
JTS000000000000000QUL         	2011	M03	        2028	
JTS000000000000000QUL         	2011	M04	        1883	
JTS000000000000000QUL         	2011	M05	        1966	
JTS000000000000000QUL         	2011	M06	        1923	
JTS000000000000000QUL         	2011	M07	        1990	
JTS000000000000000QUL         	2011	M08	        2043	
JTS000000000000000QUL         	2011	M09	        2045	
JTS000000000000000QUL         	2011	M10	        2000	
JTS000000000000000QUL         	2011	M11	        2031	
JTS000000000000000QUL         	2011	M12	        1975	
JTS000000000000000QUL         	2012	M01	        2032	
JTS000000000000000QUL         	2012	M02	        2123	
JTS000000000000000QUL         	2012	M03	        2163	
JTS000000000000000QUL         	2012	M04	        2136	
JTS000000000000000QUL         	2012	M05	        2140	
JTS000000000000000QUL         	2012	M06	        2151	
JTS000000000000000QUL         	2012	M07	        2075	
JTS000000000000000QUL         	2012	M08	        2080	
JTS000000000000000QUL         	2012	M09	        1957	
JTS000000000000000QUL         	2012	M10	        2037	
JTS000000000000000QUL         	2012	M11	        2070	
JTS000000000000000QUL         	2012	M12	        2045	
JTS000000000000000QUL         	2013	M01	        2281	
JTS000000000000000QUL         	2013	M02	        2281	
JTS000000000000000QUL         	2013	M03	        2118	
JTS000000000000000QUL         	2013	M04	        2297	
JTS000000000000000QUL         	2013	M05	        2237	
JTS000000000000000QUL         	2013	M06	        2203	
JTS000000000000000QUL         	2013	M07	        2367	
JTS000000000000000QUL         	2013	M08	        2331	
JTS000000000000000QUL         	2013	M09	        2307	
JTS000000000000000QUL         	2013	M10	        2374	
JTS000000000000000QUL         	2013	M11	        2384	
JTS000000000000000QUL         	2013	M12	        2281	
JTS000000000000000QUL         	2014	M01	        2312	
JTS000000000000000QUL         	2014	M02	        2401	
JTS000000000000000QUL         	2014	M03	        2441	
JTS000000000000000QUL         	2014	M04	        2476	
JTS000000000000000QUL         	2014	M05	        2486	
JTS000000000000000QUL         	2014	M06	        2506	
JTS000000000000000QUL         	2014	M07	        2637	
JTS000000000000000QUL         	2014	M08	        2564	
JTS000000000000000QUL         	2014	M09	        2737	
JTS000000000000000QUL         	2014	M10	        2721	
JTS000000000000000QUL         	2014	M11	        2588	
JTS000000000000000QUL         	2014	M12	        2543	
JTS000000000000000QUL         	2015	M01	        2766	
JTS000000000000000QUL         	2015	M02	        2731	
JTS000000000000000QUL         	2015	M03	        2748	
JTS000000000000000QUL         	2015	M04	        2706	
JTS000000000000000QUL         	2015	M05	        2746	
JTS000000000000000QUL         	2015	M06	        2756	
JTS000000000000000QUL         	2015	M07	        2768	
JTS000000000000000QUL         	2015	M08	        2888	
JTS000000000000000QUL         	2015	M09	        2783	
JTS000000000000000QUL         	2015	M10	        2814	
JTS000000000000000QUL         	2015	M11	        2891	
JTS000000000000000QUL         	2015	M12	        3043	
JTS000000000000000QUL         	2016	M01	        2893	
JTS000000000000000QUL         	2016	M02	        2997	
JTS000000000000000QUL         	2016	M03	        2900	
JTS000000000000000QUL         	2016	M04	        2954	
JTS000000000000000QUL         	2016	M05	        3010	
JTS000000000000000QUL         	2016	M06	        2988	
JTS000000000000000QUL         	2016	M07	        2976	
JTS000000000000000QUL         	2016	M08	        3007	
JTS000000000000000QUL         	2016	M09	        3044	
JTS000000000000000QUL         	2016	M10	        3078	
JTS000000000000000QUL         	2016	M11	        3017	
JTS000000000000000QUL         	2016	M12	        2986	
JTS000000000000000QUL         	2017	M01	        3176	
JTS000000000000000QUL         	2017	M02	        3081	
JTS000000000000000QUL         	2017	M03	        3134	
JTS000000000000000QUL         	2017	M04	        3034	
JTS000000000000000QUL         	2017	M05	        3126	
JTS000000000000000QUL         	2017	M06	        3157	
JTS000000000000000QUL         	2017	M07	        3118	
JTS000000000000000QUL         	2017	M08	        3134	
JTS000000000000000QUL         	2017	M09	        3212	
JTS000000000000000QUL         	2017	M10	        3193	
JTS000000000000000QUL         	2017	M11	        3157	
JTS000000000000000QUL         	2017	M12	        3222	
JTS000000000000000QUL         	2018	M01	        3034	
JTS000000000000000QUL         	2018	M02	        3175	
JTS000000000000000QUL         	2018	M03	        3301	
JTS000000000000000QUL         	2018	M04	        3373	
JTS000000000000000QUL         	2018	M05	        3405	
JTS000000000000000QUL         	2018	M06	        3389	
JTS000000000000000QUL         	2018	M07	        3443	
JTS000000000000000QUL         	2018	M08	        3446	
JTS000000000000000QUL         	2018	M09	        3400	
JTS000000000000000QUL         	2018	M10	        3485	
JTS000000000000000QUL         	2018	M11	        3460	
JTS000000000000000QUL         	2018	M12	        3415	
JTS000000000000000QUL         	2019	M01	        3530	
JTS000000000000000QUL         	2019	M02	        3541	
JTS000000000000000QUL         	2019	M03	        3525	
JTS000000000000000QUL         	2019	M04	        3492	
JTS000000000000000QUL         	2019	M05	        3486	
JTS000000000000000QUL         	2019	M06	        3481	
JTS000000000000000QUL         	2019	M07	        3612	
JTS000000000000000QUL         	2019	M08	        3544	
JTS000000000000000QUL         	2019	M09	        3429	
JTS000000000000000QUL         	2019	M10	        3442	
JTS000000000000000QUL         	2019	M11	        3528	
JTS000000000000000QUL         	2019	M12	        3528	
JTS000000000000000QUL         	2020	M01	        3575	C
JTS000000000000000QUL         	2020	M02	        3436	
JTS000000000000000QUL         	2020	M03	        2789	
JTS000000000000000QUL         	2020	M04	        1877	
JTS000000000000000QUL         	2020	M05	        2067	
JTS000000000000000QUL         	2020	M06	        2605	
JTS000000000000000QUL         	2020	M07	        2932	
JTS000000000000000QUL         	2020	M08	        2839	
JTS000000000000000QUL         	2020	M09	        3074	
JTS000000000000000QUL         	2020	M10	        3150	
JTS000000000000000QUL         	2020	M11	        3180	
JTS000000000000000QUL         	2020	M12	        3286	P
JTS000000000000000QUR         	2000	M12	         2.2	
JTS000000000000000QUR         	2001	M01	         2.5	
JTS000000000000000QUR         	2001	M02	         2.3	
JTS000000000000000QUR         	2001	M03	         2.3	
JTS000000000000000QUR         	2001	M04	         2.4	
JTS000000000000000QUR         	2001	M05	         2.3	
JTS000000000000000QUR         	2001	M06	         2.2	
JTS000000000000000QUR         	2001	M07	         2.2	
JTS000000000000000QUR         	2001	M08	         2.2	
JTS000000000000000QUR         	2001	M09	         2.1	
JTS000000000000000QUR         	2001	M10	         2.1	
JTS000000000000000QUR         	2001	M11	         1.9	
JTS000000000000000QUR         	2001	M12	         1.9	
JTS000000000000000QUR         	2002	M01	         2.2	
JTS000000000000000QUR         	2002	M02	         2.0	
JTS000000000000000QUR         	2002	M03	         1.9	
JTS000000000000000QUR         	2002	M04	         2.0	
JTS000000000000000QUR         	2002	M05	         1.9	
JTS000000000000000QUR         	2002	M06	         1.9	
JTS000000000000000QUR         	2002	M07	         2.0	
JTS000000000000000QUR         	2002	M08	         2.0	
JTS000000000000000QUR         	2002	M09	         1.9	
JTS000000000000000QUR         	2002	M10	         1.9	
JTS000000000000000QUR         	2002	M11	         1.8	
JTS000000000000000QUR         	2002	M12	         1.9	
JTS000000000000000QUR         	2003	M01	         1.9	
JTS000000000000000QUR         	2003	M02	         1.9	
JTS000000000000000QUR         	2003	M03	         1.8	
JTS000000000000000QUR         	2003	M04	         1.8	
JTS000000000000000QUR         	2003	M05	         1.8	
JTS000000000000000QUR         	2003	M06	         1.8	
JTS000000000000000QUR         	2003	M07	         1.8	
JTS000000000000000QUR         	2003	M08	         1.7	
JTS000000000000000QUR         	2003	M09	         1.8	
JTS000000000000000QUR         	2003	M10	         1.9	
JTS000000000000000QUR         	2003	M11	         1.8	
JTS000000000000000QUR         	2003	M12	         1.9	
JTS000000000000000QUR         	2004	M01	         1.8	
JTS000000000000000QUR         	2004	M02	         1.9	
JTS000000000000000QUR         	2004	M03	         2.0	
JTS000000000000000QUR         	2004	M04	         1.9	
JTS000000000000000QUR         	2004	M05	         1.8	
JTS000000000000000QUR         	2004	M06	         2.0	
JTS000000000000000QUR         	2004	M07	         2.0	
JTS000000000000000QUR         	2004	M08	         2.0	
JTS000000000000000QUR         	2004	M09	         1.9	
JTS000000000000000QUR         	2004	M10	         1.9	
JTS000000000000000QUR         	2004	M11	         2.1	
JTS000000000000000QUR         	2004	M12	         2.0	
JTS000000000000000QUR         	2005	M01	         2.1	
JTS000000000000000QUR         	2005	M02	         2.0	
JTS000000000000000QUR         	2005	M03	         2.1	
JTS000000000000000QUR         	2005	M04	         2.1	
JTS000000000000000QUR         	2005	M05	         2.1	
JTS000000000000000QUR         	2005	M06	         2.1	
JTS000000000000000QUR         	2005	M07	         2.0	
JTS000000000000000QUR         	2005	M08	         2.2	
JTS000000000000000QUR         	2005	M09	         2.3	
JTS000000000000000QUR         	2005	M10	         2.1	
JTS000000000000000QUR         	2005	M11	         2.1	
JTS000000000000000QUR         	2005	M12	         2.1	
JTS000000000000000QUR         	2006	M01	         2.2	
JTS000000000000000QUR         	2006	M02	         2.2	
JTS000000000000000QUR         	2006	M03	         2.2	
JTS000000000000000QUR         	2006	M04	         2.0	
JTS000000000000000QUR         	2006	M05	         2.2	
JTS000000000000000QUR         	2006	M06	         2.2	
JTS000000000000000QUR         	2006	M07	         2.2	
JTS000000000000000QUR         	2006	M08	         2.2	
JTS000000000000000QUR         	2006	M09	         2.1	
JTS000000000000000QUR         	2006	M10	         2.2	
JTS000000000000000QUR         	2006	M11	         2.2	
JTS000000000000000QUR         	2006	M12	         2.2	
JTS000000000000000QUR         	2007	M01	         2.2	
JTS000000000000000QUR         	2007	M02	         2.1	
JTS000000000000000QUR         	2007	M03	         2.2	
JTS000000000000000QUR         	2007	M04	         2.1	
