series_id                     	year	period	       value	footnote_codes
JTS000000000000000QUR         	2017	M07	         2.1	
JTS000000000000000QUR         	2017	M08	         2.1	
JTS000000000000000QUR         	2017	M09	         2.2	
JTS000000000000000QUR         	2017	M10	         2.2	
JTS000000000000000QUR         	2017	M11	         2.1	
JTS000000000000000QUR         	2017	M12	         2.2	
JTS000000000000000QUR         	2018	M01	         2.1	
JTS000000000000000QUR         	2018	M02	         2.1	
JTS000000000000000QUR         	2018	M03	         2.2	
JTS000000000000000QUR         	2018	M04	         2.3	
JTS000000000000000QUR         	2018	M05	         2.3	
JTS000000000000000QUR         	2018	M06	         2.3	
JTS000000000000000QUR         	2018	M07	         2.3	
JTS000000000000000QUR         	2018	M08	         2.3	
JTS000000000000000QUR         	2018	M09	         2.3	
JTS000000000000000QUR         	2018	M10	         2.3	
JTS000000000000000QUR         	2018	M11	         2.3	
JTS000000000000000QUR         	2018	M12	         2.3	
JTS000000000000000QUR         	2019	M01	         2.4	
JTS000000000000000QUR         	2019	M02	         2.4	
JTS000000000000000QUR         	2019	M03	         2.3	
JTS000000000000000QUR         	2019	M04	         2.3	
JTS000000000000000QUR         	2019	M05	         2.3	
JTS000000000000000QUR         	2019	M06	         2.3	
JTS000000000000000QUR         	2019	M07	         2.4	
JTS000000000000000QUR         	2019	M08	         2.3	
JTS000000000000000QUR         	2019	M09	         2.3	
JTS000000000000000QUR         	2019	M10	         2.3	
JTS000000000000000QUR         	2019	M11	         2.3	
JTS000000000000000QUR         	2019	M12	         2.3	
JTS000000000000000QUR         	2020	M01	         2.3	C
JTS000000000000000QUR         	2020	M02	         2.3	
JTS000000000000000QUR         	2020	M03	         1.8	
JTS000000000000000QUR         	2020	M04	         1.4	
JTS000000000000000QUR         	2020	M05	         1.6	
JTS000000000000000QUR         	2020	M06	         1.9	
JTS000000000000000QUR         	2020	M07	         2.1	
JTS000000000000000QUR         	2020	M08	         2.0	
JTS000000000000000QUR         	2020	M09	         2.2	
JTS000000000000000QUR         	2020	M10	         2.2	
JTS000000000000000QUR         	2020	M11	         2.2	
JTS000000000000000QUR         	2020	M12	         2.3	P
JTS000000MW0000000QUL         	2000	M12	         761	
JTS000000MW0000000QUL         	2001	M01	         842	
JTS000000MW0000000QUL         	2001	M02	         755	
JTS000000MW0000000QUL         	2001	M03	         780	
JTS000000MW0000000QUL         	2001	M04	         767	
JTS000000MW0000000QUL         	2001	M05	         744	
JTS000000MW0000000QUL         	2001	M06	         752	
JTS000000MW0000000QUL         	2001	M07	         725	
JTS000000MW0000000QUL         	2001	M08	         748	
JTS000000MW0000000QUL         	2001	M09	         658	
JTS000000MW0000000QUL         	2001	M10	         642	
JTS000000MW0000000QUL         	2001	M11	         552	
JTS000000MW0000000QUL         	2001	M12	         576	
JTS000000MW0000000QUL         	2002	M01	         675	
JTS000000MW0000000QUL         	2002	M02	         569	
JTS000000MW0000000QUL         	2002	M03	         561	
JTS000000MW0000000QUL         	2002	M04	         574	
JTS000000MW0000000QUL         	2002	M05	         539	
JTS000000MW0000000QUL         	2002	M06	         551	
JTS000000MW0000000QUL         	2002	M07	         592	
JTS000000MW0000000QUL         	2002	M08	         553	
JTS000000MW0000000QUL         	2002	M09	         544	
JTS000000MW0000000QUL         	2002	M10	         547	
JTS000000MW0000000QUL         	2002	M11	         516	
JTS000000MW0000000QUL         	2002	M12	         545	
JTS000000MW0000000QUL         	2003	M01	         517	
JTS000000MW0000000QUL         	2003	M02	         538	
JTS000000MW0000000QUL         	2003	M03	         471	
JTS000000MW0000000QUL         	2003	M04	         516	
JTS000000MW0000000QUL         	2003	M05	         504	
JTS000000MW0000000QUL         	2003	M06	         502	
JTS000000MW0000000QUL         	2003	M07	         507	
JTS000000MW0000000QUL         	2003	M08	         501	
JTS000000MW0000000QUL         	2003	M09	         518	
JTS000000MW0000000QUL         	2003	M10	         524	
JTS000000MW0000000QUL         	2003	M11	         530	
JTS000000MW0000000QUL         	2003	M12	         525	
JTS000000MW0000000QUL         	2004	M01	         542	
JTS000000MW0000000QUL         	2004	M02	         488	
JTS000000MW0000000QUL         	2004	M03	         533	
JTS000000MW0000000QUL         	2004	M04	         552	
JTS000000MW0000000QUL         	2004	M05	         544	
JTS000000MW0000000QUL         	2004	M06	         558	
JTS000000MW0000000QUL         	2004	M07	         548	
JTS000000MW0000000QUL         	2004	M08	         522	
JTS000000MW0000000QUL         	2004	M09	         529	
JTS000000MW0000000QUL         	2004	M10	         528	
JTS000000MW0000000QUL         	2004	M11	         610	
JTS000000MW0000000QUL         	2004	M12	         585	
JTS000000MW0000000QUL         	2005	M01	         567	
JTS000000MW0000000QUL         	2005	M02	         567	
JTS000000MW0000000QUL         	2005	M03	         583	
JTS000000MW0000000QUL         	2005	M04	         585	
JTS000000MW0000000QUL         	2005	M05	         602	
JTS000000MW0000000QUL         	2005	M06	         596	
JTS000000MW0000000QUL         	2005	M07	         598	
JTS000000MW0000000QUL         	2005	M08	         611	
JTS000000MW0000000QUL         	2005	M09	         629	
JTS000000MW0000000QUL         	2005	M10	         584	
JTS000000MW0000000QUL         	2005	M11	         622	
JTS000000MW0000000QUL         	2005	M12	         546	
JTS000000MW0000000QUL         	2006	M01	         623	
JTS000000MW0000000QUL         	2006	M02	         624	
JTS000000MW0000000QUL         	2006	M03	         651	
JTS000000MW0000000QUL         	2006	M04	         602	
JTS000000MW0000000QUL         	2006	M05	         633	
JTS000000MW0000000QUL         	2006	M06	         636	
JTS000000MW0000000QUL         	2006	M07	         642	
JTS000000MW0000000QUL         	2006	M08	         652	
JTS000000MW0000000QUL         	2006	M09	         593	
JTS000000MW0000000QUL         	2006	M10	         657	
JTS000000MW0000000QUL         	2006	M11	         608	
JTS000000MW0000000QUL         	2006	M12	         637	
JTS000000MW0000000QUL         	2007	M01	         662	
JTS000000MW0000000QUL         	2007	M02	         674	
JTS000000MW0000000QUL         	2007	M03	         671	
JTS000000MW0000000QUL         	2007	M04	         619	
JTS000000MW0000000QUL         	2007	M05	         663	
JTS000000MW0000000QUL         	2007	M06	         619	
JTS000000MW0000000QUL         	2007	M07	         588	
JTS000000MW0000000QUL         	2007	M08	         630	
JTS000000MW0000000QUL         	2007	M09	         566	
JTS000000MW0000000QUL         	2007	M10	         614	
JTS000000MW0000000QUL         	2007	M11	         632	
